id,item,item_name,transition,gold,original,candidate,estimated_price,amount_outside_item_band,source_jsonl_line,original_raw_evidence,candidate_raw_evidence,review_category,review_note,verified_source_excerpts
PPS-DEV-01,v11,중기간 경쟁제품 입찰 중소 없음,resolved_fp,0,1,0,281818182,False,1,,,해소: 원문에 이미 요건 존재,확인서·기업 규모 자격이 실제로 원문에 있다. 이를 없는 것으로 처리했던 기존 1을 후보가 0으로 바꿨다. 소기업·소상공인 제한도 중소기업 범위를 제한하므로 v11/v16의 부재와는 구분해야 한다.,"[{""doc_id"": ""D0"", ""line_start"": 72, ""line_end"": 74, ""text"": ""마. 중소기업기본법 제2조에 따른 중·소기업 또는 『소상공인 보호 및 지원에 관\n한 법률』 제2조에 따른 소상공인으로서‘중·소기업, 소상공인 확인서’를\n소지한 자""}]"
PPS-DEV-04,v18,1억원 미만 일반물품 소기업 제한 없음,resolved_fp,0,1,0,318181818,True,4,,,amount_band_screen,메타 추정가격이 동결된 해당 항목의 적용 금액대 밖이다. 원문 발췌는 cases.jsonl의 source_contexts에서 대조. 제품 지정·예외까지 확정한 판정은 아니다.,[]
PPS-DEV-06,v14,고시금액 이상 일반물품 중소기업 제한,resolved_fp,0,1,0,748181818,False,6,중·소기업·소상공인으로서「중·소기업·소상공인 및 장애인기업 확인요령」에 따라 발급된 중·소기업·소상공인 확인서(입찰마감일 기준 유효하여야 함)를 소지한 업체,,해소: 지정제품 적용 범위,공고는 행사·회의 대행 세부품명과 직접생산 요건을 명시한다. 비지정제품만 대상으로 하는 v14의 적용 대상을 구별한 결과와 일치한다. 단순 직접생산 문구만으로 지정을 확정하는 일반 규칙으로 확대해서는 안 된다.,"[{""doc_id"": ""D0"", ""line_start"": 26, ""line_end"": 29, ""text"": ""- 중소기업제품 구매촉진 및 판로지원에 관한 법률」제9조 및 같은 법 시행령 제10조에 따라 나라장터(G2B)에 입찰서 제출 마감일 전일까지 ‘국제행사기획및대행서비스(세부품명번호 : 8014198901) 또는 회의기획및대행서비스(세부품명번호: 8014190201)’로 등록한 자\n※ 직접생산확인증명서는 입찰서 제출마감일 전일까지 발급된 것으로서 유효기간 내에 있어야 함\n다. 최근 5년간 국가기관이 발주한 국제회의 개최 대행 용역의 이행실적이 4억원 이상인 업체\n라. 「중소기업기본법 시행령」 제8조 및 「소상공인 보호 및 지원에 관한 법률」 제2조에 따른 중·소기업·소상공인으로서「중·소기업·소상공인 및 장애인기업 확인요령」에 따라 발급된 중·소기업·소상공인 확인서(입찰마감일 기준 유효하여야 함)를 소지한 업체""}]"
PPS-DEV-06,v18,1억원 미만 일반물품 소기업 제한 없음,resolved_fp,0,1,0,748181818,True,6,,,amount_band_screen,메타 추정가격이 동결된 해당 항목의 적용 금액대 밖이다. 원문 발췌는 cases.jsonl의 source_contexts에서 대조. 제품 지정·예외까지 확정한 판정은 아니다.,[]
PPS-DEV-07,v6,"고시금액 미만 지역제한 시,군,구",resolved_fp,0,1,0,727272727,False,7,마 본사(주된 영업소)의 소재지가 서울특별시에 있는 업체,,해소: 지역 단위 구분,기존에 인용한 소재지 조건은 도·광역시·특별시 단위다. 개별 기준 v6의 광역보다 좁은 지역 제한을 입증하지 않는다. 지역 제한의 금액 상한이나 복수 지역 확장은 다른 항목에서 판단해야 한다.,"[{""doc_id"": ""D0"", ""line_start"": 42, ""line_end"": 45, ""text"": ""\n국가종합전자조달시스템(나라장터) / 서울특별시 [지역:r1|단위=기초|광역=서울특별시] [상세주소] 기업은행 본점 7층 여신심사부\n\n2. 입찰 참가자격 (제한경쟁입찰)""}, {""doc_id"": ""D0"", ""line_start"": 54, ""line_end"": 57, ""text"": ""\n마. 본사(주된 영업소)의 소재지가 서울특별시에 있는 업체\n\n바. 공동계약 방식으로 입찰 허용""}, {""doc_id"": ""D1"", ""line_start"": 56, ""line_end"": 59, ""text"": ""\n④ 본사(주된 영업소)의 소재지가 서울특별시에 있는 업체\n\n3. 제안서 제출 등 안내""}, {""doc_id"": ""D1"", ""line_start"": 98, ""line_end"": 101, ""text"": ""\nㅇ 등록장소 : [수요기관(기타공공기관)] 본점 7층 여신심사부 (서울특별시 [지역:r1|단위=기초|광역=서울특별시] [상세주소])\n\nㅇ 등록방법 : 대표자 또는 대표의 위임을 받은 대리인이 직접 방문하여 제출(우편접수 불가). 등록기한 경과 시 접수 불가""}]"
PPS-DEV-07,v18,1억원 미만 일반물품 소기업 제한 없음,resolved_fp,0,1,0,727272727,True,7,,,amount_band_screen,메타 추정가격이 동결된 해당 항목의 적용 금액대 밖이다. 원문 발췌는 cases.jsonl의 source_contexts에서 대조. 제품 지정·예외까지 확정한 판정은 아니다.,[]
PPS-DEV-08,v16,1억 이상- 고시금액미만 중소기업 제한 없음,resolved_fp,0,1,0,34545455,True,8,,,amount_band_screen,메타 추정가격이 동결된 해당 항목의 적용 금액대 밖이다. 원문 발췌는 cases.jsonl의 source_contexts에서 대조. 제품 지정·예외까지 확정한 판정은 아니다.,[]
PPS-DEV-09,v6,"고시금액 미만 지역제한 시,군,구",resolved_fp,0,1,0,112064000,False,9,"주된 영업소(본사 소재지를 말함)가 입찰공고일 현재 광주광역시, 전라남도의 관할구역 안에 있어야 합니다.",,해소: 지역 단위 구분,기존에 인용한 소재지 조건은 도·광역시·특별시 단위다. 개별 기준 v6의 광역보다 좁은 지역 제한을 입증하지 않는다. 지역 제한의 금액 상한이나 복수 지역 확장은 다른 항목에서 판단해야 한다.,"[{""doc_id"": ""D0"", ""line_start"": 47, ""line_end"": 47, ""text"": ""마. 주된 영업소(본사 소재지를 말함)가 입찰공고일 현재 광주광역시, 전라남도의 관할구역 안에 있어야 합니다.""}, {""doc_id"": ""D0"", ""line_start"": 46, ""line_end"": 49, ""text"": ""\n마. 주된 영업소(본사 소재지를 말함)가 입찰공고일 현재 광주광역시, 전라남도의 관할구역 안에 있어야 합니다.\n\n바. 국가종합전자조달시스템 입찰참가자격등록규정에 의하여 국가종합전자조달시스템(나라장터)에 입찰참가자격등록 마감일시까지 컴퓨터서버(세부품명번호 10자리 4321150102)를 공급물품 또는 제조물품으로 입찰참가자격을 등록한 업체이어야 합니다.""}]"
PPS-DEV-09,v17,1억원 미만 일반물품 중소기업 제한,resolved_fp,0,1,0,112064000,True,9,「중소기업기본법」제2조에 따른 중기업 또는 소기업이거나 「소상공인 보호 및 지원에 관한 법률」제2조에 따른 소상공인으로서 「중소기업 범위 및 확인에 관한 규정」에 따라 발급된 중․소기업․소상공인 확인서(중소기업확인서)를 소지한 업체이어야 합니다.,,amount_band_screen,메타 추정가격이 동결된 해당 항목의 적용 금액대 밖이다. 원문 발췌는 cases.jsonl의 source_contexts에서 대조. 제품 지정·예외까지 확정한 판정은 아니다.,[]
PPS-DEV-09,v18,1억원 미만 일반물품 소기업 제한 없음,resolved_fp,0,1,0,112064000,True,9,,,amount_band_screen,메타 추정가격이 동결된 해당 항목의 적용 금액대 밖이다. 원문 발췌는 cases.jsonl의 source_contexts에서 대조. 제품 지정·예외까지 확정한 판정은 아니다.,[]
PPS-DEV-10,v18,1억원 미만 일반물품 소기업 제한 없음,resolved_fp,0,1,0,122727273,True,10,,,amount_band_screen,메타 추정가격이 동결된 해당 항목의 적용 금액대 밖이다. 원문 발췌는 cases.jsonl의 source_contexts에서 대조. 제품 지정·예외까지 확정한 판정은 아니다.,[]
PPS-DEV-11,v11,중기간 경쟁제품 입찰 중소 없음,resolved_fp,0,1,0,262727273,False,11,,,해소: 원문에 이미 요건 존재,확인서·기업 규모 자격이 실제로 원문에 있다. 이를 없는 것으로 처리했던 기존 1을 후보가 0으로 바꿨다. 소기업·소상공인 제한도 중소기업 범위를 제한하므로 v11/v16의 부재와는 구분해야 한다.,"[{""doc_id"": ""D0"", ""line_start"": 30, ""line_end"": 31, ""text"": ""-「중소기업기본법」제2조에 따른 중‧소기업 또는「소상공인 보호 및 지원에 관한 법률」제2조에 따른 소상공인으로서「중소기업 범위 및 확인에 관한 규정」에 따라 발급된 중기업 또는 소기업․소상공인확인서를 소지한 업체\n※ ‘직접생산확인증명서’와 ‘중소기업확인서’는 등록마감일 기준 유효기간 내에 있어야 하며, 중소기업 공공구매 종합정보망(http://www.smpp.go.kr)에 확인되지 않을 경우 입찰참가 자격 없음""}]"
PPS-DEV-11,v18,1억원 미만 일반물품 소기업 제한 없음,resolved_fp,0,1,0,262727273,True,11,,,amount_band_screen,메타 추정가격이 동결된 해당 항목의 적용 금액대 밖이다. 원문 발췌는 cases.jsonl의 source_contexts에서 대조. 제품 지정·예외까지 확정한 판정은 아니다.,[]
PPS-DEV-12,v5,고시금액 이상 지역제한,resolved_fp,0,1,0,28532727,False,12,"지역제한여부:'Y', 제한지역코드목록:'경상북도'",,해소: 금액 상한 위반 근거 부족,"추정가격은 약 0.29~1.61억원 구간으로, 인용된 지역 조건 자체가 적용 상한을 초과했음을 보여주지는 않는다. 특히 메타 또는 기관 주소 인용은 충분한 근거가 아니다. 지방계약의 정확한 상한은 기관 구분을 추가로 확인해야 하며 미확정 고시액을 임의의 2.3억원으로 대체하지 않았다.","[{""doc_id"": ""D0"", ""line_start"": 46, ""line_end"": 49, ""text"": ""가. 공 고 명: 소방기관 화재진압장비 구매(수의계약·5천만원미만)\n나. 기초금액: 금31,386,000원(추정가격: 28,532,727원, 부가세: 2,853,273원)\n·\n다. 품명 수량: 피스톨관창 등 17종 254점 ※규격서 참조""}, {""doc_id"": ""D0"", ""line_start"": 84, ""line_end"": 87, ""text"": ""마. 국가종합전자조달시스템(G2B)에 입찰공고일 전일부터 입찰일(낙찰자는 계약체결일)\n까지 주된 영업소의 소지재(법인의 경우 등기부 등본상 본점 소재지, 개인사업자의\n경우 사업자등록증 또는 관련 법령에 따른 허가․인가․면허․등록․신고 등에 관련된\n서류에 기재된 사업장의 소재지)를 계속해서 경상북도에 둔 업체로, [수요기관(소방기관)]에""}]"
PPS-DEV-12,v18,1억원 미만 일반물품 소기업 제한 없음,resolved_fp,0,1,0,28532727,False,12,,,해소: 원문에 이미 요건 존재,확인서·기업 규모 자격이 실제로 원문에 있다. 이를 없는 것으로 처리했던 기존 1을 후보가 0으로 바꿨다. 소기업·소상공인 제한도 중소기업 범위를 제한하므로 v11/v16의 부재와는 구분해야 한다.,"[{""doc_id"": ""D0"", ""line_start"": 74, ""line_end"": 77, ""text"": ""라. 「중소기업제품 구매촉진 및 판로지원에 관한 법률 시행령」 제2조의2, 「중소기\n업 기본법」제2조제2항 및 「소상공인기본법」제2조에 의거 소기업 또는 소\n상공인에 해당하는 업체(입찰마감일 전일까지 발급된 것으로 유효기간 내에\n있어야 함)에 한합니다 .""}]"
PPS-DEV-13,v11,중기간 경쟁제품 입찰 중소 없음,resolved_fp,0,1,0,222727273,False,13,,,해소: 원문에 이미 요건 존재,확인서·기업 규모 자격이 실제로 원문에 있다. 이를 없는 것으로 처리했던 기존 1을 후보가 0으로 바꿨다. 소기업·소상공인 제한도 중소기업 범위를 제한하므로 v11/v16의 부재와는 구분해야 한다.,"[{""doc_id"": ""D0"", ""line_start"": 25, ""line_end"": 25, ""text"": ""가.「중소기업기본법」 제2조에 따른 중소기업자로서 「중소기업 범위 및 확인에 관한 규정」에 따라 발급된 중소기업확인서를 소지한 업체""}]"
PPS-DEV-13,v14,고시금액 이상 일반물품 중소기업 제한,resolved_fp,0,1,0,222727273,True,13,"중소기업기본법 제2조에 따른 중소기업자로서 「중소기업 범위 및 확인에 관한 규정」에 따라 발급된 중소기업확인서를 소지한 업체... 본 용역은 위 입찰참가자격 가~라목의 입찰참가자격을 모두 충족하는 업체는 단독으로 참여가능하며, 공동수급계약(공동이행방식, 최소지분율은 5% 이상)으로 입찰에 참여 가능.",,amount_band_screen,메타 추정가격이 동결된 해당 항목의 적용 금액대 밖이다. 원문 발췌는 cases.jsonl의 source_contexts에서 대조. 제품 지정·예외까지 확정한 판정은 아니다.,[]
PPS-DEV-14,v10,중기간 경쟁제품 입찰 직생 없음,resolved_fp,0,1,0,188062728,False,14,,,해소: 직접생산 요건 존재,통학운송서비스의 직접생산확인증명서와 전산 확인을 원문에서 요구한다. 확인 방식이 전산이라는 이유로 부재로 볼 수 없다.,"[{""doc_id"": ""D0"", ""line_start"": 23, ""line_end"": 24, ""text"": ""다.「중소기업제품 구매촉진 및 판로지원에 관한 법률」제9조 및 같은 법 시행령 10조에 의한 직접생산확인증명서 [세부품명：통학운송서비스/세부품명번호：7811189902]를 소지한 업체이어야 합니다.\n※ 직접생산확인증명서는 전자입찰서 제출마감일 전일까지 발급된 것으로 유효기간 내에 있어야 하며, 중소기업공공구매 종합정보망(www.smpp.go.kr)에서 확인되지 않을 경우, 입찰 참가 자격이 없습니다.""}]"
PPS-DEV-17,v18,1억원 미만 일반물품 소기업 제한 없음,resolved_fp,0,1,0,309090909,True,17,,,amount_band_screen,메타 추정가격이 동결된 해당 항목의 적용 금액대 밖이다. 원문 발췌는 cases.jsonl의 source_contexts에서 대조. 제품 지정·예외까지 확정한 판정은 아니다.,[]
